review_id,decision_id,decision,decision_timestamp,review_timestamp,expert_name,stars,comment
b8c9d0e1-8888-9999-0000-111111111111,dec028,IRRIGUER,2021-05-05T10:00:00,2021-05-05T10:20:00,Dr. Leila El Fassi,4,Sol à 25.2% avec température modérée. Irrigation modérée appropriée.
c9d0e1f2-9999-0000-1111-222222222222,dec029,IRRIGUER,2021-06-15T11:00:00,2021-06-15T11:25:00,Ing. Omar Khadiri,5,Excellent : sol sec à 20.5% en période chaude. Irrigation bien dosée.
d0e1f2g3-0000-1111-2222-333333333333,dec030,IRRIGUER,2021-07-20T12:00:00,2021-07-20T12:30:00,Dr. Imane Alaoui,4,Sol à 18.2% avec évapotranspiration élevée. Bonne décision d'irriguer.
e1f2g3h4-1111-2222-3333-444444444444,dec031,NE PAS IRRIGUER,2021-08-25T13:00:00,2021-08-25T13:10:00,Ing. Reda Tazi,5,Parfait : sol à 65.5% après pluies. Bonne décision de ne pas irriguer.
f2g3h4i5-2222-3333-4444-555555555555,dec032,NE PAS IRRIGUER,2021-09-15T14:00:00,2021-09-15T14:08:00,Dr. Hicham Benali,4,Bonne décision : sol à 72.8% d'humidité. Pas d'irrigation nécessaire.
g3h4i5j6-3333-4444-5555-666666666666,dec033,IRRIGUER,2022-05-10T09:00:00,2022-05-10T09:25:00,Ing. Souad Amrani,4,Sol à 24.2% en période de croissance. Irrigation modérée appropriée.
h4i5j6k7-4444-5555-6666-777777777777,dec034,IRRIGUER,2022-06-20T10:00:00,2022-06-20T10:30:00,Dr. Tarik Cherkaoui,5,Urgence bien détectée : sol à 19.5% avec température élevée. Irrigation nécessaire.
i5j6k7l8-5555-6666-7777-888888888888,dec035,IRRIGUER,2022-07-25T11:00:00,2022-07-25T11:20:00,Ing. Lamia Idrissi,4,Sol très sec à 16.8%. Bonne réaction avec irrigation de 45 minutes.
j6k7l8m9-6666-7777-8888-999999999999,dec036,NE PAS IRRIGUER,2022-08-15T12:00:00,2022-08-15T12:10:00,Dr. Yassine Bensaid,5,Excellent jugement : sol à 68.2% après pluies. Pas besoin d'irrigation.
k7l8m9n0-7777-8888-9999-000000000000,dec037,IRRIGUER,2023-05-15T08:30:00,2023-05-15T08:55:00,Ing. Zineb El Fassi,4,Sol à 22.8% avec conditions favorables. Irrigation modérée bien gérée.
l8m9n0o1-8888-9999-0000-111111111111,dec038,IRRIGUER,2023-06-25T09:15:00,2023-06-25T09:40:00,Dr. Anass Khadiri,5,Excellent : sol sec à 18.2% en période chaude. Irrigation bien dosée.
m9n0o1p2-9999-0000-1111-222222222222,dec039,IRRIGUER,2023-07-30T10:00:00,2023-07-30T10:25:00,Ing. Hiba Alaoui,4,Sol critique à 15.5% avec évapotranspiration maximale. Irrigation urgente justifiée.
n0o1p2q3-0000-1111-2222-333333333333,dec040,NE PAS IRRIGUER,2023-08-20T11:00:00,2023-08-20T11:10:00,Dr. Ayoub Tazi,5,Parfait : sol à 70.5% après pluies. Bonne décision de ne pas irriguer.
o1p2q3r4-1111-2222-3333-444444444444,dec041,IRRIGUER,2021-04-20T09:00:00,2021-04-20T09:20:00,Ing. Ines Benali,4,Sol à 28.5% en début de saison. Irrigation modérée appropriée.
p2q3r4s5-2222-3333-4444-555555555555,dec042,IRRIGUER,2021-05-25T10:00:00,2021-05-25T10:30:00,Dr. Othmane Amrani,5,Urgence bien identifiée : sol à 24.2% avec température montante. Irrigation nécessaire.
q3r4s5t6-3333-4444-5555-666666666666,dec043,IRRIGUER,2021-06-30T11:00:00,2021-06-30T11:25:00,Ing. Salma Cherkaoui,4,Sol sec à 20.8% en période chaude. Bonne décision d'irriguer 40 minutes.
r4s5t6u7-4444-5555-6666-777777777777,dec044,IRRIGUER,2021-07-15T12:00:00,2021-07-15T12:30:00,Dr. Mehdi Idrissi,5,Excellent : sol très sec à 18.5% avec évapotranspiration élevée. Irrigation bien gérée.
s5t6u7v8-5555-6666-7777-888888888888,dec045,IRRIGUER,2021-08-05T13:00:00,2021-08-05T13:20:00,Ing. Nadia Bensaid,4,Sol critique à 16.2% en période de forte chaleur. Irrigation urgente bien exécutée.
t6u7v8w9-6666-7777-8888-999999999999,dec046,NE PAS IRRIGUER,2021-08-30T14:00:00,2021-08-30T14:10:00,Dr. Youssef El Fassi,5,Parfait jugement : sol à 68.8% après pluies. Pas d'irrigation nécessaire.
u7v8w9x0-7777-8888-9999-000000000000,dec047,NE PAS IRRIGUER,2021-09-25T15:00:00,2021-09-25T15:08:00,Ing. Imane Khadiri,4,Bonne décision : sol à 75.5% d'humidité. Éviter la sur-irrigation.
v8w9x0y1-8888-9999-0000-111111111111,dec048,IRRIGUER,2022-04-25T08:00:00,2022-04-25T08:25:00,Dr. Reda Alaoui,4,Sol à 26.8% en début de saison. Irrigation modérée appropriée.
w9x0y1z2-9999-0000-1111-222222222222,dec049,IRRIGUER,2022-06-05T09:00:00,2022-06-05T09:30:00,Ing. Hicham Tazi,5,Urgence bien détectée : sol sec à 22.5% avec température élevée. Irrigation nécessaire.
x0y1z2a3-0000-1111-2222-333333333333,dec050,IRRIGUER,2022-07-20T10:00:00,2022-07-20T10:25:00,Dr. Souad Benali,4,Sol très sec à 19.2% avec évapotranspiration maximale. Bonne réaction avec irrigation.
y1z2a3b4-1111-2222-3333-444444444444,dec051,NE PAS IRRIGUER,2022-08-30T11:00:00,2022-08-30T11:10:00,Ing. Tarik Amrani,5,Excellent jugement : sol à 72.2% après pluies. Pas besoin d'irrigation.
z2a3b4c5-2222-3333-4444-555555555555,dec052,IRRIGUER,2023-05-05T08:15:00,2023-05-05T08:40:00,Dr. Lamia Cherkaoui,4,Sol à 25.5% avec conditions favorables. Irrigation modérée bien gérée.
a3b4c5d6-3333-4444-5555-666666666666,dec053,IRRIGUER,2023-06-15T09:00:00,2023-06-15T09:30:00,Ing. Yassine Idrissi,5,Excellent : sol sec à 21.2% en période chaude. Irrigation bien dosée.
b4c5d6e7-4444-5555-6666-777777777777,dec054,IRRIGUER,2023-07-25T10:00:00,2023-07-25T10:20:00,Dr. Zineb Bensaid,4,Sol critique à 17.8% avec évapotranspiration élevée. Irrigation urgente justifiée.
c5d6e7f8-5555-6666-7777-888888888888,dec055,NE PAS IRRIGUER,2023-09-05T11:00:00,2023-09-05T11:10:00,Ing. Anass El Fassi,5,Parfait : sol à 74.5% après pluies. Bonne décision de ne pas irriguer.
870bf93d-523e-439a-af9e-cf71fe2d5c6c,924a6f33-1cbf-4df9-8810-7f0ce591c7ba,NE PAS IRRIGUER,2025-12-03T10:19:59,2025-12-03T10:20:42,Expert,5,"le sol est saturé, bonne analyse"
2e8874ff-3d0d-437f-ad2e-e7cc22bce633,c8cdf06d-9383-41ab-b7d8-3bc790bf0536,IRRIGUER (09/12/2025 00:37:53),2025-12-09T00:37:53.395258,2025-12-09T00:41:30.333196,ilyass,1,"""decision"": ""NE PAS IRRIGUER"", malgré ca pompe activé"
228529a8-2ff0-49ba-b60a-68e4bee8eb07,13f4f9f8-99d2-4002-a918-0f2837d3c147,NE PAS IRRIGUER (09/12/2025 01:11:09),2025-12-09T01:11:09.067993,2025-12-09T01:12:06.157730,ilyass machmoum,5,"Le sol est déjà saturé, bonne analyse"
